Longitude,Latitude,Encounter Type,geometry,Lat,Lon,cluster_label_dbscan,cluster
-118.164679,51.026735,aggressive,POINT (278175.6884555879 5655300.777954461),5655300.777954461,278175.6884555879,0,0
-118.192023,51.021653,aggressive,POINT (276234.97209471324 5654818.772779037),5654818.772779037,276234.97209471324,0,0
-118.185984,51.02198499999998,curious_risk,POINT (276659.81930221315 5654837.333655925),5654837.333655925,276659.81930221315,0,0
-118.1939,51.02235999999999,neutral_passive,POINT (276106.8284520761 5654903.042220256),5654903.042220256,276106.8284520761,0,0
-118.209398,51.02281499999999,neutral_passive,POINT (275022.8553702942 5655000.836323388),5655000.836323388,275022.8553702942,0,0
-118.207891,51.022905,curious_risk,POINT (275128.9080114351 5655006.23453804),5655006.23453804,275128.9080114351,0,0
-118.209384,51.023074,curious_risk,POINT (275025.0911438867 5655029.5745034255),5655029.5745034255,275025.0911438867,0,0
-118.209418,51.02324599999999,neutral_passive,POINT (275023.5414735848 5655048.791593937),5655048.791593937,275023.5414735848,0,0
-118.20964,51.023628,neutral_passive,POINT (275009.8334965465 5655091.918967047),5655091.918967047,275009.8334965465,0,0
-118.20274,51.023688,neutral_passive,POINT (275493.6962607907 5655077.5277023725),5655077.5277023725,275493.6962607907,0,0
-118.194241,51.023817,neutral_passive,POINT (276089.9538034277 5655065.986258196),5655065.986258196,276089.9538034277,0,0
-118.191963,51.02398600000001,neutral_passive,POINT (276250.41685746476 5655077.8421911225),5655077.8421911225,276250.41685746476,0,0
-118.207235,51.024182,neutral_passive,POINT (275181.0648534518 5655146.136174217),5655146.136174217,275181.0648534518,0,0
-118.20538399999997,51.024233,curious_risk,POINT (275311.0336796586 5655146.154064875),5655146.154064875,275311.0336796586,0,0
-118.191741,51.024572,neutral_passive,POINT (276268.798218042 5655142.286222186),5655142.286222186,276268.798218042,0,0
-118.20344799999997,51.024906,neutral_passive,POINT (275449.96669956844 5655215.034856095),5655215.034856095,275449.96669956844,0,0
-118.20015399999996,51.025308,neutral_passive,POINT (275682.755694956 5655249.66719192),5655249.66719192,275682.755694956,0,0
-118.19221199999996,51.02546399999999,neutral_passive,POINT (276240.0875190407 5655242.839724806),5655242.839724806,276240.0875190407,0,0
-118.199098,51.02573,neutral_passive,POINT (275758.7984444619 5655293.3451184975),5655293.3451184975,275758.7984444619,0,0
-118.19044599999998,51.025926000000005,neutral_passive,POINT (276366.0743664458 5655288.814224381),5655288.814224381,276366.0743664458,0,0
-118.204647,51.026469000000006,neutral_passive,POINT (275373.49972782814 5655392.377738524),5655392.377738524,275373.49972782814,0,0
-118.199467,51.02908300000001,aggressive,POINT (275749.1316399718 5655667.066437911),5655667.066437911,275749.1316399718,0,0
-118.198646,51.03029299999999,neutral_passive,POINT (275812.5052575002 5655799.026115942),5655799.026115942,275812.5052575002,0,0
-118.20657400000002,51.03052600000001,curious_risk,POINT (275258.0944524206 5655849.085754483),5655849.085754483,275258.0944524206,0,0
-118.20126500000002,51.032285,neutral_passive,POINT (275638.6099612453 5656028.361619314),5656028.361619314,275638.6099612453,0,0
-118.153961,51.026958,neutral_passive,POINT (278927.8564905631 5655293.327222104),5655293.327222104,278927.8564905631,0,0
-118.181229,51.029238,curious_risk,POINT (277027.9034962213 5655628.90629612),5655628.90629612,277027.9034962213,0,0
-118.133777,51.030979,neutral_passive,POINT (280361.3479381313 5655679.760773361),5655679.760773361,280361.3479381313,0,0
-118.158302,51.031044000000016,neutral_passive,POINT (278643.1237074577 5655760.423505861),5655760.423505861,278643.1237074577,0,0
-118.13117900000002,51.03107699999999,curious_risk,POINT (280543.86060981796 5655682.904967311),5655682.904967311,280543.86060981796,0,0
-118.13938599999996,51.031209,neutral_passive,POINT (279969.39906921936 5655722.065010367),5655722.065010367,279969.39906921936,0,0
-118.13284,51.031303,neutral_passive,POINT (280428.5384190497 5655712.970877437),5655712.970877437,280428.5384190497,0,0
-118.15654700000002,51.03146900000001,curious_risk,POINT (278768.12592087506 5655802.377133244),5655802.377133244,278768.12592087506,0,0
-118.14513100000002,51.032625,curious_risk,POINT (279573.55527507054 5655896.600465896),5655896.600465896,279573.55527507054,0,0
-118.13255700000002,51.032993,neutral_passive,POINT (280456.36008150293 5655899.928648351),5655899.928648351,280456.36008150293,0,0
-118.16451999999998,51.03328099999998,neutral_passive,POINT (278218.09905932116 5656027.719780553),5656027.719780553,278218.09905932116,0,0
-118.133944,51.034025,neutral_passive,POINT (280364.0552228071 5656018.746229257),5656018.746229257,280364.0552228071,0,0
-118.14039599999997,51.03409400000001,aggressive,POINT (279912.3018567767 5656045.679264113),5656045.679264113,279912.3018567767,0,0
-118.145554,51.034482,neutral_passive,POINT (279552.7330299015 5656104.225850554),5656104.225850554,279552.7330299015,0,0
-118.13816699999998,51.034707,neutral_passive,POINT (280071.38758559496 5656107.138776714),5656107.138776714,280071.38758559496,0,0
-118.147537,51.034805000000006,neutral_passive,POINT (279415.32396062504 5656146.058052869),5656146.058052869,279415.32396062504,0,0
-118.153545,51.035315,neutral_passive,POINT (278996.7898404881 5656220.747794183),5656220.747794183,278996.7898404881,0,0
-118.16181799999995,51.03538300000001,neutral_passive,POINT (278417.45815066353 5656253.168601579),5656253.168601579,278417.45815066353,0,0
