Longitude,Latitude,Encounter Type,geometry,Lat,Lon,cluster_label_dbscan,cluster
-115.53129,51.16285699999999,curious_risk,POINT (462865.23284332483 5665801.485127964),5665801.485127964,462865.23284332483,0,0
-115.527894,51.162871,neutral_passive,POINT (463102.60761553154 5665801.332377302),5665801.332377302,463102.60761553154,0,0
-115.53159499999998,51.163082,neutral_passive,POINT (462844.09561526077 5665826.650463219),5665826.650463219,462844.09561526077,0,0
-115.52763999999998,51.16321,neutral_passive,POINT (463120.6312770441 5665838.8887070725),5665838.8887070725,463120.6312770441,0,0
-115.528415,51.163421,curious_risk,POINT (463066.6315221796 5665862.732621168),5665862.732621168,463066.6315221796,0,0
-115.526715,51.16354,neutral_passive,POINT (463185.5463990721 5665875.108595193),5665875.108595193,463185.5463990721,0,0
-115.51559799999995,51.162022,neutral_passive,POINT (463961.3756231153 5665700.860138288),5665700.860138288,463961.3756231153,0,0
-115.515012,51.162441,neutral_passive,POINT (464002.66099848435 5665747.149830258),5665747.149830258,464002.66099848435,0,0
-115.51364,51.16303,neutral_passive,POINT (464099.0151347211 5665811.953372438),5665811.953372438,464099.0151347211,0,0
-115.516464,51.163172,neutral_passive,POINT (463901.74297766417 5665829.120431),5665829.120431,463901.74297766417,0,0
-115.515209,51.163433000000005,neutral_passive,POINT (463989.66393502016 5665857.5184059255),5665857.5184059255,463989.66393502016,0,0
-115.513123,51.163827,aggressive,POINT (464135.76881538716 5665900.296841362),5665900.296841362,464135.76881538716,0,0
-115.516964,51.163924,neutral_passive,POINT (463867.38319673674 5665912.959338688),5665912.959338688,463867.38319673674,0,0
-115.51465,51.16425399999999,neutral_passive,POINT (464029.37336596666 5665948.508441),5665948.508441,464029.37336596666,0,0
-115.516568,51.164324,neutral_passive,POINT (463895.37328704324 5665957.2294656215),5665957.2294656215,463895.37328704324,0,0
-115.517242,51.164561,neutral_passive,POINT (463848.45076031843 5665983.905787288),5665983.905787288,463848.45076031843,0,0
-115.52437600000002,51.161675,curious_risk,POINT (463347.55057736824 5665666.624503663),5665666.624503663,463347.55057736824,0,0
-115.521155,51.161761000000006,neutral_passive,POINT (463572.75608543295 5665674.584321393),5665674.584321393,463572.75608543295,0,0
-115.520925,51.161875,neutral_passive,POINT (463588.9220797501 5665687.142843153),5665687.142843153,463588.9220797501,0,0
-115.52262799999995,51.163284,neutral_passive,POINT (463471.0011146794 5665844.613641912),5665844.613641912,463471.0011146794,0,0
-115.521407,51.16367399999999,neutral_passive,POINT (463556.64952761575 5665887.360930203),5665887.360930203,463556.64952761575,0,0
-115.524074,51.163828,neutral_passive,POINT (463370.36464086856 5665905.804563121),5665905.804563121,463370.36464086856,0,0
-115.51925400000002,51.163844000000005,neutral_passive,POINT (463707.2643741392 5665905.193849942),5665905.193849942,463707.2643741392,0,0
-115.52080199999996,51.16394499999998,neutral_passive,POINT (463599.1486002779 5665917.186099081),5665917.186099081,463599.1486002779,0,0
-115.52387299999998,51.164207,neutral_passive,POINT (463384.7133193654 5665947.834666311),5665947.834666311,463384.7133193654,0,0
