name,geometry,tourism,Latitude,Longitude,Lat,Lon
,POINT (453565.0889886815 5666904.193064538),picnic_site,51.1720969,-115.6644837,5666904.193064538,453565.0889886815
,POINT (449679.1782913627 5667673.758998355),picnic_site,51.1786903,-115.7201941,5667673.758998355,449679.1782913627
,POINT (462440.79210191686 5669554.361598847),attraction,51.1965885,-115.5377562,5669554.361598847,462440.79210191686
,POINT (462900.55735095916 5675283.32478202),attraction,51.2481528,-115.5317678,5675283.32478202,462900.55735095916
,POINT (462774.0867628121 5675284.420045349),attraction,51.2481544,-115.5335806,5675284.420045349,462774.0867628121
Sulphur Mountain Cosmic Ray Station,POINT (459547.78781313094 5664071.693952271),attraction,51.1470726,-115.5785579,5664071.693952271,459547.78781313094
,POINT (456972.551070082 5664987.343177222),picnic_site,51.1551211,-115.6154967,5664987.343177222,456972.551070082
,POINT (428427.90830160276 5675730.81305627),picnic_site,51.2488909,-116.0259072,5675730.81305627,428427.90830160276
,POINT (439778.39932395815 5676678.383130939),camp_site,51.2587268,-115.8633922,5676678.383130939,439778.39932395815
,POINT (439937.3083192757 5676898.928442883),camp_site,51.2607273,-115.8611513,5676898.928442883,439937.3083192757
,POINT (439709.8151315712 5677011.042477128),camp_site,51.2617117,-115.8644315,5677011.042477128,439709.8151315712
,POINT (434274.0182110479 5679253.459763649),picnic_site,51.2812798,-115.9427707,5679253.459763649,434274.0182110479
,POINT (433738.1011941183 5681078.841713116),attraction,51.2976359,-115.9507958,5681078.841713116,433738.1011941183
,POINT (434119.47365923313 5681193.112011029),attraction,51.298708,-115.9453454,5681193.112011029,434119.47365923313
Cirrus Mountain Viewpoint,POINT (364376.2187331431 5773821.565602946),viewpoint,52.1190609,-116.9817206,5773821.565602946,364376.2187331431
Fenland Trail,POINT (459297.0139660934 5668202.492013944),attraction,51.1842127,-115.5826121,5668202.492013944,459297.0139660934
Giant Steps,POINT (413082.80113733583 5688077.520296237),viewpoint,51.3577967,-116.2488219,5688077.520296237,413082.80113733583
Pa10,POINT (412908.2495676973 5687915.486360185),camp_site,51.3563127,-116.2512895,5687915.486360185,412908.2495676973
Mosquito Creek Campsite,POINT (409651.5359943458 5722345.0613681795),camp_site,51.6654284,-116.3068993,5722345.0613681795,409651.5359943458
,POINT (399927.99868007755 5722883.156373179),picnic_site,51.6686179,-116.4476582,5722883.156373179,399927.99868007755
Elkhorn Lodge,POINT (460340.8515872153 5666511.860094635),guest_house,51.1690782,-115.5674848,5666511.860094635,460340.8515872153
,POINT (417380.50495776196 5695882.694437487),information,51.4286348,-116.1889056,5695882.694437487,417380.50495776196
Hummocks,POINT (445394.97422348557 5655654.5145157315),information,51.0701832,-115.7796815,5655654.5145157315,445394.97422348557
Islands,POINT (445379.9929721761 5655492.4751283955),information,51.0687242,-115.7798709,5655492.4751283955,445379.9929721761
Life on the edge,POINT (445388.85169395723 5656166.576238238),information,51.0747887,-115.7798463,5656166.576238238,445388.85169395723
Welcome to the continental divide,POINT (445369.6807213546 5655512.161514903),information,51.0689003,-115.7800211,5655512.161514903,445369.6807213546
HI Rampart Creek,POINT (372245.29781052517 5765139.253550696),hostel,52.0428857,-116.8635506,5765139.253550696,372245.29781052517
Panther falls,POINT (359453.52777602663 5780927.667348588),viewpoint,52.1817039,-117.0565435,5780927.667348588,359453.52777602663
,POINT (381067.5018727625 5757039.023788832),viewpoint,51.9720256,-116.7321128,5757039.023788832,381067.5018727625
Water at work,POINT (381748.0699082398 5753686.499984128),information,51.9420301,-116.7210514,5753686.499984128,381748.0699082398
Let the sun shine,POINT (396268.951180376 5728371.049829208),information,51.7173006,-116.5022045,5728371.049829208,396268.951180376
,POINT (395910.7014308088 5728388.9689688785),information,51.7173953,-116.507396,5728388.9689688785,395910.7014308088
The amazing diversity,POINT (396089.79031120904 5728371.404766767),information,51.7172706,-116.5047982,5728371.404766767,396089.79031120904
Timberline,POINT (396207.72628101235 5728367.317159258),information,51.7172557,-116.5030897,5728367.317159258,396207.72628101235
Valley view,POINT (395958.36652045546 5728386.6834273115),information,51.7173836,-116.5067053,5728386.6834273115,395958.36652045546
Welcome to Bow Summit,POINT (395982.8012102626 5728318.173314875),information,51.7167721,-116.5063311,5728318.173314875,395982.8012102626
Welcome to Bow summit (elevation 2135 m / 7000 '),POINT (396439.2999215665 5728334.182736836),information,51.7170006,-116.4997275,5728334.182736836,396439.2999215665
A refugee for mountaineers,POINT (415248.48597323126 5694661.943408706),information,51.417341,-116.2192859,5694661.943408706,415248.48597323126
From chalet to chateau,POINT (415319.3806712021 5694637.191125776),information,51.417129,-116.2182603,5694637.191125776,415319.3806712021
Ice axes and tea cups,POINT (415255.4890205407 5694659.958826774),information,51.4173242,-116.2191847,5694659.958826774,415255.4890205407
Kindness kills wilderness,POINT (413498.4257210108 5694576.817954932),information,51.4163109,-116.2444361,5694576.817954932,413498.4257210108
Lake Louise,POINT (415810.062745715 5694497.047863119),information,51.4159418,-116.2111695,5694497.047863119,415810.062745715
Plain of six glaciers,POINT (413807.1525657126 5693659.4371620305),information,51.4081077,-116.2397726,5693659.4371620305,413807.1525657126
Sensitive species,POINT (415322.8497821463 5694621.699722784),information,51.4169902,-116.2182067,5694621.699722784,415322.8497821463
Sharing the landscape,POINT (415328.34167127515 5694615.381561235),information,51.4169342,-116.2181262,5694615.381561235,415328.34167127515
A source of inspiration,POINT (441546.8470095964 5675890.446609299),information,51.2518237,-115.8379123,5675890.446609299,441546.8470095964
Johnston canyon,POINT (441365.88387019746 5675334.040963365),information,51.2468004,-115.8404148,5675334.040963365,441365.88387019746
Please don't feed the animals.,POINT (441520.7846973881 5676008.691042749),information,51.2528846,-115.8383052,5676008.691042749,441520.7846973881
,POINT (441588.8418047539 5676192.7794905715),information,51.2545474,-115.8373598,5676192.7794905715,441588.8418047539
Trailblazers,POINT (441503.65195701487 5675565.236906605),information,51.2488941,-115.8384782,5675565.236906605,441503.65195701487
Skoki Loop Trailhead,POINT (419982.6007784188 5697086.790043432),attraction,51.4398378,-116.1517419,5697086.790043432,419982.6007784188
Backswamp,POINT (451339.8236400973 5666549.928115931),viewpoint,51.1687251,-115.6962766,5666549.928115931,451339.8236400973
Mistaya Canyon,POINT (381732.0218892353 5753717.734370523),viewpoint,51.9423075,-116.7212956,5753717.734370523,381732.0218892353
,POINT (380678.75084578205 5757093.36583822),picnic_site,51.9724308,-116.7377906,5757093.36583822,380678.75084578205
,POINT (380672.50782536546 5757084.516474105),picnic_site,51.9723499,-116.7378784,5757084.516474105,380672.50782536546
,POINT (380714.3591059444 5757103.260131975),picnic_site,51.9725274,-116.7372757,5757103.260131975,380714.3591059444
Hector Lake,POINT (409268.92340905796 5713674.443141567),viewpoint,51.5873937,-116.3101836,5713674.443141567,409268.92340905796
Bow lake,POINT (399777.1603992615 5723435.747285462),viewpoint,51.67356,-116.4499982,5723435.747285462,399777.1603992615
HI Castle Mountain,POINT (436065.9015963962 5677693.548764971),hostel,51.2674533,-115.9167923,5677693.548764971,436065.9015963962
Waterfowl Lake - Viewpoint South,POINT (389004.57034879446 5741276.911962982),viewpoint,51.83195,-116.6114904,5741276.911962982,389004.57034879446
,POINT (420720.4713079354 5698485.744276869),viewpoint,51.4525233,-116.1414373,5698485.744276869,420720.4713079354
Kicking horse viewpoint,POINT (420257.98089890287 5699159.649471894),viewpoint,51.4585191,-116.1482467,5699159.649471894,420257.98089890287
Cr15,POINT (458296.32444061723 5686486.932444672),camp_site,51.348612,-115.5990702,5686486.932444672,458296.32444061723
,POINT (463755.1035303475 5674040.678056027),information,51.2370297,-115.5193934,5674040.678056027,463755.1035303475
,POINT (459988.86232284055 5667268.779701987),artwork,51.1758624,-115.5726054,5667268.779701987,459988.86232284055
,POINT (463334.1841576356 5674723.253632127),viewpoint,51.2431428,-115.525495,5674723.253632127,463334.1841576356
No5 - Norman Creek,POINT (370204.07809492684 5770203.067048219),camp_site,52.0879325,-116.8952355,5770203.067048219,370204.07809492684
Waterfall,POINT (462068.19288734975 5671433.594989583),viewpoint,51.2134683,-115.5432895,5671433.594989583,462068.19288734975
Mount Cockscomb Camp Fm10,POINT (452738.8405400061 5673719.245093785),camp_site,51.2333316,-115.6772049,5673719.245093785,452738.8405400061
Mystic Valley Camp Ml22,POINT (448777.37407589954 5679541.53900464),camp_site,51.2853606,-115.7347985,5679541.53900464,448777.37407589954
Mystic Junction Camp Fm19,POINT (450136.22511590214 5680938.222432991),camp_site,51.2980443,-115.7155026,5680938.222432991,450136.22511590214
Sawback Lake Camp Fm29,POINT (447449.5574535793 5687731.461794894),camp_site,51.3589061,-115.7550536,5687731.461794894,447449.5574535793
Block Lakes Junction Camp Cr37,POINT (442249.8531710706 5691233.510411424),camp_site,51.3899004,-115.8303248,5691233.510411424,442249.8531710706
Flints Park Camp Cr31,POINT (447497.1478506282 5693475.618204213),camp_site,51.4105773,-115.7552202,5693475.618204213,447497.1478506282
Badger Pass Junction Camp Jo29,POINT (434393.46679563983 5691141.377312427),camp_site,51.3882175,-115.94325,5691141.377312427,434393.46679563983
Wildflower Creek Camp Ba15,POINT (429596.0959834256 5698310.082907651),camp_site,51.4521176,-116.0136378,5698310.082907651,429596.0959834256
Banff Beaver Cabins,POINT (460250.0314146192 5667468.394209906),chalet,51.1776762,-115.56889,5667468.394209906,460250.0314146192
,POINT (462950.33103386016 5668784.6600287035),viewpoint,51.189698,-115.5303817,5668784.6600287035,462950.33103386016
Path to Hoodoos,POINT (463602.0678695029 5668655.025993594),viewpoint,51.1885738,-115.5210391,5668655.025993594,463602.0678695029
campsite 3,POINT (442577.7354161568 5680564.2095809905),camp_site,51.2939676,-115.8238883,5680564.2095809905,442577.7354161568
Larry's Camp,POINT (442579.13856182824 5680626.486292274),camp_site,51.2945279,-115.8238782,5680626.486292274,442579.13856182824
Campsite 1,POINT (442573.528181468 5680549.5703026),camp_site,51.2938355,-115.8239463,5680549.5703026,442573.528181468
Campsite 4,POINT (442586.96176206204 5680584.473708153),camp_site,51.2941508,-115.8237592,5680584.473708153,442586.96176206204
Bow falls viewpoint,POINT (460847.45273159776 5666163.123464844),viewpoint,51.1659761,-115.5601982,5666163.123464844,460847.45273159776
King's Lookout,POINT (461319.8225346663 5667459.026638467),viewpoint,51.1776653,-115.5535791,5667459.026638467,461319.8225346663
,POINT (461491.89032427233 5666955.6766708335),viewpoint,51.1731491,-115.5510627,5666955.6766708335,461491.89032427233
Sunwapta Pass,POINT (353103.6920767388 5784272.3945127465),attraction,52.2101104,-117.1508389,5784272.3945127465,353103.6920767388
,POINT (398798.3665321173 5723936.877622759),viewpoint,51.6778906,-116.4642995,5723936.877622759,398798.3665321173
,POINT (441804.54514597054 5676738.426492795),viewpoint,51.2594774,-115.8343568,5676738.426492795,441804.54514597054
,POINT (442017.6317249323 5676997.754394359),viewpoint,51.2618317,-115.8313442,5676997.754394359,442017.6317249323
,POINT (441580.9210416883 5676239.663973109),viewpoint,51.2549683,-115.837481,5676239.663973109,441580.9210416883
Johnston Creek Valley,POINT (441544.69952932175 5675680.836685845),viewpoint,51.2499381,-115.8379088,5675680.836685845,441544.69952932175
Banff Hoodoos Viewpoint,POINT (463670.786365583 5668650.726481912),viewpoint,51.1885395,-115.520055,5668650.726481912,463670.786365583
,POINT (463833.3309020717 5668572.629449828),viewpoint,51.1878473,-115.5177204,5668572.629449828,463833.3309020717
,POINT (465509.3910964987 5676085.896528817),viewpoint,51.2555362,-115.4944531,5676085.896528817,465509.3910964987
,POINT (465399.2014524552 5673415.243204764),viewpoint,51.231506,-115.4957743,5673415.243204764,465399.2014524552
,POINT (465519.05352700513 5675740.9969482655),viewpoint,51.2524343,-115.4942813,5675740.9969482655,465519.05352700513
Bow Falls Viewpoint,POINT (460805.4023157733 5666393.386269376),viewpoint,51.1680445,-115.5608249,5666393.386269376,460805.4023157733
,POINT (458084.2738119476 5666644.2701154305),viewpoint,51.1701083,-115.599788,5666644.2701154305,458084.2738119476
,POINT (458725.9649311267 5666454.958103193),viewpoint,51.1684521,-115.5905846,5666454.958103193,458725.9649311267
,POINT (458957.464359246 5669617.885620664),attraction,51.1969203,-115.587634,5669617.885620664,458957.464359246
Temple Viewpoint,POINT (422620.58766336006 5689904.578365812),viewpoint,51.3756097,-116.1122109,5689904.578365812,422620.58766336006
,POINT (415307.38757335744 5694637.624036323),viewpoint,51.4171311,-116.2184329,5694637.624036323,415307.38757335744
,POINT (415442.69368432264 5694541.317240952),viewpoint,51.4162852,-116.2164638,5694541.317240952,415442.69368432264
,POINT (415096.78926126397 5694667.538767707),viewpoint,51.4173686,-116.2214691,5694667.538767707,415096.78926126397
,POINT (413609.3259845384 5693888.890124596),viewpoint,51.4101411,-116.2426733,5693888.890124596,413609.3259845384
,POINT (413786.23228840705 5694100.2533447165),viewpoint,51.4120689,-116.2401807,5694100.2533447165,413786.23228840705
,POINT (436959.34278841916 5685932.482343591),camp_site,51.3416579,-115.9054399,5685932.482343591,436959.34278841916
merlin meadows sk18,POINT (424632.1051306101 5707108.942891569),camp_site,51.5306126,-116.0869738,5707108.942891569,424632.1051306101
CR31 Flints Park Campground,POINT (446835.22074524534 5693183.342088824),camp_site,51.4078867,-115.7646967,5693183.342088824,446835.22074524534
,POINT (415104.64318212774 5694705.347309982),information,51.4177098,-116.2213652,5694705.347309982,415104.64318212774
,POINT (436141.04741333594 5677869.774763215),information,51.2690468,-115.9157464,5677869.774763215,436141.04741333594
,POINT (436391.2985076679 5677775.617796186),information,51.2682279,-115.9121415,5677775.617796186,436391.2985076679
Tower Lake Viewpoint,POINT (435545.8100582882 5682798.652416063),viewpoint,51.3133124,-115.9251717,5682798.652416063,435545.8100582882
Rockbound Lake Viewpoint,POINT (435491.6404473113 5683159.002281681),viewpoint,51.3165474,-115.9260144,5683159.002281681,435491.6404473113
,POINT (417779.0906607517 5684769.131815872),picnic_site,51.3287422,-116.1805966,5684769.131815872,417779.0906607517
,POINT (382210.93365715945 5756757.526192358),viewpoint,51.9697384,-116.7153715,5756757.526192358,382210.93365715945
,POINT (399866.8743459878 5722987.969266769),viewpoint,51.6695495,-116.4485722,5722987.969266769,399866.8743459878
Viewpoint North Saskatchwan River,POINT (380701.92070676 5757036.073967612),viewpoint,51.9719207,-116.7374334,5757036.073967612,380701.92070676
