Longitude,Latitude,Encounter Type
-65.253047,44.411277000000005,curious_risk
-65.21791599999999,44.416048,curious_risk
-65.244468,44.416335,aggressive
-65.203868,44.420865,aggressive
-65.23322,44.423676,curious_risk
-65.228761,44.42482,neutral_passive
-65.199566,44.42781,curious_risk
-65.198548,44.428365,neutral_passive
-65.217227,44.428387999999984,curious_risk
-65.25160999999999,44.43039100000001,curious_risk
-65.203136,44.43068499999998,neutral_passive
-65.19254,44.43202300000001,aggressive
-65.220255,44.435871,aggressive
-65.35817899999999,44.436808,curious_risk
-65.224817,44.439395999999995,curious_risk
-65.19457399999999,44.43952800000001,neutral_passive
-65.208978,44.44026299999999,neutral_passive
-75.85228999999998,44.44092899999999,neutral_passive
-65.256983,44.44502099999998,curious_risk
-65.21998599999999,44.450695,neutral_passive
-75.849239,44.451098,neutral_passive
-75.886404,44.45182899999999,neutral_passive
-75.86803799999998,44.45407,neutral_passive
-65.362724,44.454334,curious_risk
-65.275849,44.456906,curious_risk
-75.87074699999998,44.458072,neutral_passive
-75.84576699999998,44.458716999999986,curious_risk
-75.89774000000001,44.458908,neutral_passive
-75.860849,44.461088,neutral_passive
-65.34145,44.470239,aggressive
-75.841631,44.470781,curious_risk
-75.812822,44.492056,aggressive
-78.74348500000002,44.539192,neutral_passive
-75.71577399999998,44.550616,neutral_passive
-75.71300099999999,44.565947,curious_risk
-79.003718,44.58618800000001,curious_risk
-76.186743,44.588770000000004,aggressive
-65.620377,44.70314599999998,neutral_passive
-79.711908,44.744348999999985,curious_risk
-79.86171599999999,44.749386,curious_risk
-79.70329300000002,44.752259,curious_risk
-79.722078,44.75421899999999,curious_risk
-79.70449399999998,44.764563,curious_risk
-79.85392799999997,44.796727999999995,curious_risk
-79.736257,44.800772,curious_risk
-79.731334,44.813553,curious_risk
-79.73452899999997,44.816618,curious_risk
-79.887177,44.828454,neutral_passive
-79.854033,44.831118,neutral_passive
-79.86555899999998,44.835485,neutral_passive
-79.868708,44.838821,curious_risk
-79.869705,44.838871,curious_risk
-79.881633,44.83903799999999,curious_risk
-79.868438,44.839393,aggressive
-79.87089299999998,44.840555,curious_risk
-79.875614,44.84065599999999,neutral_passive
-79.86133199999999,44.840914999999995,curious_risk
-79.864275,44.841118,curious_risk
-79.87736700000002,44.841458,curious_risk
-79.875812,44.841519,curious_risk
-79.861928,44.841903,curious_risk
-79.854339,44.842114,curious_risk
-79.87077999999998,44.842116,curious_risk
-79.85256799999998,44.842453,neutral_passive
-79.875588,44.842826,curious_risk
-79.86564299999998,44.842884,curious_risk
-79.86166599999999,44.842937,curious_risk
-79.87679299999999,44.843213,neutral_passive
-79.865435,44.843757,neutral_passive
-79.85319399999999,44.844187,neutral_passive
-79.85639799999997,44.844395000000006,curious_risk
-79.868279,44.844621,curious_risk
-79.87684499999997,44.844897999999986,curious_risk
-79.872286,44.845216999999984,curious_risk
-79.871208,44.845221,curious_risk
-79.865424,44.845264,neutral_passive
-79.861137,44.845298,neutral_passive
-79.847184,44.846262,neutral_passive
-79.86216199999998,44.846581,curious_risk
-79.86405,44.847023,neutral_passive
-79.86471599999999,44.847159000000005,curious_risk
-79.862195,44.847168,curious_risk
-79.857439,44.847235,curious_risk
-79.854111,44.847288999999996,neutral_passive
-79.853108,44.847425,curious_risk
-79.848667,44.847562,neutral_passive
-79.869276,44.84759199999999,neutral_passive
-79.853323,44.847734,curious_risk
-79.85389300000001,44.847751,aggressive
-79.875305,44.847817,curious_risk
-79.87029399999997,44.84785999999999,curious_risk
-79.870081,44.84806699999999,curious_risk
-79.874564,44.84827500000001,curious_risk
-79.874793,44.848918,curious_risk
-79.851342,44.84893399999999,curious_risk
-79.877912,44.84920400000001,curious_risk
-79.872286,44.849251,curious_risk
-79.868507,44.84926399999999,curious_risk
-79.851237,44.84927399999999,curious_risk
-79.848234,44.849336,curious_risk
-79.85878499999998,44.84936199999999,curious_risk
-79.86084099999998,44.849428,neutral_passive
-79.853918,44.84962699999999,curious_risk
-79.870047,44.84966699999998,neutral_passive
-79.871077,44.849837999999984,neutral_passive
-79.856784,44.850301,curious_risk
-79.87027999999998,44.850348,curious_risk
-79.853797,44.850386,curious_risk
-79.87656399999999,44.850444,neutral_passive
-79.86454500000002,44.85078399999999,neutral_passive
-79.85574399999997,44.85091800000001,neutral_passive
-79.879389,44.851022999999984,neutral_passive
-79.856275,44.851128999999986,curious_risk
-79.853643,44.851186,neutral_passive
-79.857653,44.851194,curious_risk
-79.878631,44.851538999999995,curious_risk
-79.84805299999996,44.85203,neutral_passive
-79.856758,44.852202999999996,curious_risk
-79.856484,44.852672000000005,curious_risk
-79.88644999999998,44.85272499999999,neutral_passive
-79.85279199999998,44.852739,curious_risk
-79.85479699999998,44.85292299999999,aggressive
-79.873352,44.853598,neutral_passive
-79.88924299999998,44.853861,curious_risk
-79.869699,44.853946,curious_risk
-79.877772,44.854000000000006,neutral_passive
-79.87935899999997,44.85446499999999,neutral_passive
-79.858016,44.854631,curious_risk
-79.856824,44.85470500000001,curious_risk
-79.87666,44.854744999999994,curious_risk
-79.872094,44.855315000000004,neutral_passive
-79.87951,44.855547,curious_risk
-79.858929,44.855563999999994,curious_risk
-79.852685,44.85578499999999,neutral_passive
-79.85376400000001,44.85579899999999,neutral_passive
-79.875678,44.85613500000001,neutral_passive
-79.886308,44.85624,curious_risk
-79.82725,44.856248,curious_risk
